Country,GDP ($ USD billions PPP),GDP per capita in $ (PPP),Military Spending as % of GDP,health expenditure % of GDP,health expenditure per person,unemployment (%)
Afghanistan,76.95622099666667,2104.3538406666667,0.012,3.3514114394285714,106.60154469666666,10.891499995
Albania,38.894608812499996,14193.94755,0.013578179499999999,3.571205707285714,524.4570464999999,14.05950012
Algeria,486.7077482,11819.398975,0.0579629205,6.383290024,511.73844403333334,11.952000235
Angola,208.46747955,6800.901798,0.013660299,2.579873463,118.21224721333333,7.5649998665
Argentina,970.613213,22671.123542499998,0.00632659,5.208467172857143,1154.6401368,8.751000215
Armenia,38.7096920575,13797.54038,0.046700605500000006,2.594031329125,609.7605896,18.84849968
Australia,1248.8800165,52760.478615,0.0193921125,5.1911699166666665,5094.668457,5.4059999945
Austria,482.465136575,57287.4765525,0.0075106085,5.366655066666667,5234.1486,6.2005000589999995
Azerbaijan,142.715431425,14980.509285,0.046350295,2.651208565571429,517.5001627333334,5.8415000915
Bahamas,12.8360832975,34575.489955,,2.74693858975,1902.0097656666667,14.26950016
Bahrain,72.527931275,45985.5248925,0.0362912985,2.387511599125,1462.5249023333333,1.5869999765
Bangladesh,920.22249875,5928.65764125,0.0128488835,1.3972866789999998,58.58707936666667,4.664500046
Barbados,4.157994184,15251.3442775,,5.649345511875,1180.6221923333333,10.906500055
Belarus,181.28927002499998,20364.2532625,0.0117790285,4.951301181375,611.8013000333334,2.6180000305
Belgium,585.4610306,54703.693205,0.009909039,6.448413352999999,4958.936035333333,7.360000038000001
Belize,2.60143468425,6965.182493,0.0122679195,8.473152751375,367.7943115333333,9.6094999315
Benin,39.582235175,3489.188239,0.0063031070000000005,3.083742737625,48.06590398,1.2870000005
Bhutan,8.585592671333332,11704.793253333331,,6.580114525428571,168.57309216666667,3.3659998895000003
Bolivia,96.9120501925,8817.129752,0.0147222915,8.751666609333332,309.2081197333334,6.1044999125
Bosnia and Herzegovina,48.9147850575,15768.652265,0.0089746915,,731.9109904000001,20.507500075
Botswana,36.8158903475,16695.3929675,0.028298202,7.742394752428572,648.5761718666666,21.561000059999998
Brazil,3074.890432,15316.74544,0.013454049,6.167094999833334,1037.1811116666668,12.95149994
Brunei,26.69953084,64694.485759999996,0.032811148,3.8892998695000003,1172.569458,4.824500084
Bulgaria,158.783213875,24695.8986125,0.023974445,4.075270176,959.9339192666666,6.711999893
Burkina Faso,44.819166465,2292.87596975,0.026455669,5.0823415035714286,59.53788121666667,3.8789999485
Burundi,8.679201647,781.803118675,0.018614009,5.3894248056250005,35.65764618,1.6960000275
Cabo Verde,3.65804387875,6976.7127442500005,,5.7460527515,226.11529033333332,10.5
Cambodia,70.57463127,4484.803267249999,0.023081822000000002,2.4720416325,138.73800914666666,7.86150017
Cameroon,97.125028575,3908.255042,0.010620446499999998,2.913980981125,90.0558726,2.5559999945
Canada,1811.9919075,49487.2867925,0.013075765,,4889.027995,5.482500005
Central African Republic,4.485870206,987.785418575,0.0167933755,1.91367580525,40.96332041666667,7.205000114500001
Chad,24.7161678925,1610.6240285,0.024970689999999997,2.5256587756249997,53.18320973666667,3.8409999845
Chile,470.427826175,26260.6264925,0.018816795499999997,5.205711603166667,1577.973226,7.8640001295
China,22894.9273325,17168.7907725,0.0181817025,3.654383757125,599.397583,4.708499956
Colombia,720.03773655,15619.8591725,0.03300947,4.616373739375,620.4961344333333,12.118000219999999
Comoros,2.603018101,3191.71821025,,2.6448949575,87.58005269333334,14.723499775
Congo (Dem. Rep.),96.502239765,1154.1543155,0.016308429,2.5909183345,24.36378479,4.513000059
Congo (Rep.),19.777646095,3828.8546127500003,0.01806356,3.953287327375,100.34095764,17.10549984
Costa Rica,105.00601505,22395.6050625,,6.812903697375,1039.0862833666667,13.477000235
Cote d'Ivoire,135.794754375,5497.777457,0.0117574065,3.552933417625,112.42032623333334,6.3839999675
Croatia,116.2885425,30500.5100625,0.022177843000000003,3.8811550145,1236.769348,11.0914998055
Cuba,,,0.029,,1009.4295349500001,2.8280000210000003
Cyprus,35.7278377525,41261.8847675,0.017934061,6.15764248375,2038.4122313333335,8.915000057
Czech Republic,424.894211375,42462.844885,0.013170457,4.6017967065,2026.602132,3.443500042
Denmark,331.03398655,60266.2670725,0.0133579575,7.24321246125,5767.697916666667,5.448999929499999
Djibouti,5.14027811675,5530.27162575,0.037,3.7037339688000004,93.29857889666665,17.49299984
Dominican Republic,194.372656575,19007.0788025,0.0067528135,4.09493058925,608.5315043333334,11.448000145
Ecuador,191.779597875,11560.0260075,0.02377856,4.544010043125,653.8872477333333,5.913500023
Egypt,1196.59551775,12454.9539525,0.0125040955,3.3003733555,256.7952296,10.6645002365
El Salvador,55.275605345,9014.1395485,0.01287451,3.6657971314285716,388.85691326666665,6.1200000285
Equatorial Guinea,24.995525784999998,19135.78795,0.0120258575,,451.82532246666665,8.272499943
Eritrea,,,,,35.08256594333333,7.6734999655
Estonia,48.0895895225,38484.34867,0.021277575,5.030649900499999,1679.4837646666667,6.6154999255
Eswatini,9.96083375825,9106.013902749999,0.017490118,6.329593241375,281.08703615,25.52800026
Ethiopia,255.4326968,2372.8361025,0.005639141,5.031388203333333,39.01209767666666,4.697000003
Fiji,11.16403010725,13164.1889925,0.0162531375,4.790871416,260.92381286666665,6.569499922
Finland,266.637754325,51461.4877375,0.017651404,6.649988412666667,4211.659993333334,8.2625000475
France,3008.74132075,48342.203785000005,0.0192269115,5.421979904333334,4563.829427333333,9.031499862499999
Gabon,31.986357212499996,15343.8063375,0.0165501805,2.959525734,304.83147686666666,20.382499695
